m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.029119,1152.32
512,512,512,0.054878,4891.49
768,768,768,0.087836,10314.3
1024,1024,1024,0.155033,13851.8
1280,1280,1280,0.226391,18526.8
1536,1536,1536,0.311508,23266.7
1792,1792,1792,0.432784,26593.3
2048,2048,2048,0.533581,32197.3
2304,2304,2304,0.695495,35170.9
2560,2560,2560,0.780932,42967.2
2816,2816,2816,1.02348,43636.2
3072,3072,3072,1.22604,47292.3
3328,3328,3328,1.44827,50901.5
3584,3584,3584,2.04169,45096.7
3840,3840,3840,2.19128,51680.3
4096,4096,4096,2.52871,54351.4
4352,4352,4352,3.09173,53320.6
4608,4608,4608,3.70403,52831.5
4864,4864,4864,4.36177,52765.3
5120,5120,5120,4.85263,55317.5
5376,5376,5376,5.84156,53196
5632,5632,5632,6.65033,53724.8
5888,5888,5888,7.51654,54314.5
6144,6144,6144,8.41651,55112.7
6400,6400,6400,9.68718,54121.8
6656,6656,6656,10.6723,55260.3
6912,6912,6912,12.0553,54785.4
7168,7168,7168,13.4858,54619.6
7424,7424,7424,15.3339,53369.4
7680,7680,7680,16.2526,55743.2
7936,7936,7936,18.261,54740.8
8192,8192,8192,19.9859,55014.4
8448,8448,8448,22.144,54454.6
8704,8704,8704,23.6814,55690.2
8960,8960,8960,26.0515,55223.1
9216,9216,9216,28.0795,55752.9
9472,9472,9472,30.6341,55481.7
9728,9728,9728,33.245,55382.7
9984,9984,9984,35.9863,55310.4
10240,10240,10240,38.3377,56014.9
10496,10496,10496,41.7709,55364
10752,10752,10752,44.9316,55328.1
11008,11008,11008,48.1335,55425.2
11264,11264,11264,51.1114,55923
11520,11520,11520,55.609,54984.7
11776,11776,11776,58.4919,55837.7
12032,12032,12032,63.2114,55112.2
12288,12288,12288,66.5058,55797.4
12544,12544,12544,74.8572,52735.7
12800,12800,12800,78.8471,53195.4
13056,13056,13056,82.9483,53660.3
13312,13312,13312,87.1551,54133.6
13568,13568,13568,94.2472,53004
13824,13824,13824,98.4247,53681.8
14080,14080,14080,103.018,54190.5
14336,14336,14336,110.335,53407.2
14592,14592,14592,115.136,53971.5
14848,14848,14848,122.79,53317.6
15104,15104,15104,127.796,53924.8
15360,15360,15360,132.943,54517.6
15616,15616,15616,141.094,53979.6
15872,15872,15872,149.512,53487.1
16128,16128,16128,155.381,53997.4
16384,16384,16384,163.866,53678.6
16640,16640,16640,169.66,54313.9
16896,16896,16896,178.796,53954
17152,17152,17152,187.899,53709.5
17408,17408,17408,194.017,54379.6
17664,17664,17664,203.871,54068.2
17920,17920,17920,213.416,53928.4
18176,18176,18176,223.424,53752.1
18432,18432,18432,230.164,54413.9
18688,18688,18688,240.503,54274.7
18944,18944,18944,251.104,54149.2
19200,19200,19200,261.863,54057.9
19456,19456,19456,272.727,54008.5
19712,19712,19712,283.981,53942.7
19968,19968,19968,295.268,53928.3
20224,20224,20224,306.817,53920.2
20480,20480,20480,314.799,54574.1
