m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.02272,1476.87
512,512,512,0.0416,6452.78
768,768,768,0.06176,14669.2
1024,1024,1024,0.11584,18538.4
1280,1280,1280,0.185121,22657.1
1536,1536,1536,0.266081,27238.9
1792,1792,1792,0.377123,30518.3
2048,2048,2048,0.480963,35719.7
2304,2304,2304,0.657765,37188.3
2560,2560,2560,0.724806,46294.4
2816,2816,2816,0.979048,45616.7
3072,3072,3072,1.16561,49744
3328,3328,3328,1.39265,52934.3
3584,3584,3584,1.97714,46569
3840,3840,3840,2.1213,53385.3
4096,4096,4096,2.4501,56095.2
4352,4352,4352,2.99714,55003.3
4608,4608,4608,3.58771,54544.4
4864,4864,4864,4.22292,54500.2
5120,5120,5120,4.6754,57414.5
5376,5376,5376,5.63269,55168.6
5632,5632,5632,6.40949,55743.5
5888,5888,5888,7.23334,56441
6144,6144,6144,8.11574,57155.1
6400,6400,6400,9.31511,56283.6
6656,6656,6656,10.2796,57371.2
6912,6912,6912,11.6094,56889.6
7168,7168,7168,12.994,56686.6
7424,7424,7424,14.7652,55424.7
7680,7680,7680,15.6577,57860.9
7936,7936,7936,17.6,56796.7
8192,8192,8192,19.2166,57216.7
8448,8448,8448,21.3637,56443.7
8704,8704,8704,22.8262,57776.6
8960,8960,8960,25.1149,57282.6
9216,9216,9216,27.0752,57821
9472,9472,9472,29.5381,57540.3
9728,9728,9728,32.0687,57414.2
9984,9984,9984,34.7217,57324.9
10240,10240,10240,37.0114,58022.1
10496,10496,10496,40.3825,57267.5
10752,10752,10752,43.338,57362.6
11008,11008,11008,46.4305,57458.1
11264,11264,11264,49.4605,57789.6
11520,11520,11520,53.8216,56810.8
11776,11776,11776,56.3965,57912.4
12032,12032,12032,60.6036,57483.8
12288,12288,12288,64.2425,57763.2
12544,12544,12544,72.3151,54589.5
12800,12800,12800,76.194,55047.7
13056,13056,13056,80.1616,55525.7
13312,13312,13312,84.236,56009.6
13568,13568,13568,90.82,55004.2
13824,13824,13824,95.1304,55540.7
14080,14080,14080,99.5101,56101
14336,14336,14336,106.606,55275.4
14592,14592,14592,111.252,55855.8
14848,14848,14848,118.684,55162.4
15104,15104,15104,123.561,55773
15360,15360,15360,128.555,56378.8
15616,15616,15616,136.433,55823.7
15872,15872,15872,144.532,55329.9
16128,16128,16128,149.999,55934.8
16384,16384,16384,158.475,55504.5
16640,16640,16640,164.009,56185.2
16896,16896,16896,173.024,55753.8
17152,17152,17152,181.631,55562.9
17408,17408,17408,187.705,56208.2
17664,17664,17664,196.908,55980.2
17920,17920,17920,206.429,55753.8
18176,18176,18176,216.064,55583.1
18432,18432,18432,222.603,56262.2
18688,18688,18688,232.614,56115.4
18944,18944,18944,242.816,55997.3
19200,19200,19200,253.231,55900.7
19456,19456,19456,263.795,55837.3
19712,19712,19712,274.633,55778.9
19968,19968,19968,285.536,55766.5
20224,20224,20224,296.699,55759
20480,20480,20480,304.471,56425.3
