m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.0208,1613.19
512,512,512,0.02576,10420.6
768,768,768,0.04304,21049.5
1024,1024,1024,0.0776,27673.8
1280,1280,1280,0.14096,29755.3
1536,1536,1536,0.2288,31677.3
1792,1792,1792,0.3456,33302
2048,2048,2048,0.452,38008.6
2304,2304,2304,0.67488,36245.2
2560,2560,2560,0.92768,36170.3
2816,2816,2816,1.24064,35998.3
3072,3072,3072,1.68416,34427.9
3328,3328,3328,2.21296,33312.4
3584,3584,3584,2.77232,33211.7
3840,3840,3840,3.6488,31036.6
4096,4096,4096,3.4272,40102.4
4352,4352,4352,4.13136,39902.8
4608,4608,4608,5.20768,37577.1
4864,4864,4864,5.62288,40930.9
5120,5120,5120,6.55088,40977
5376,5376,5376,7.87392,39465.4
5632,5632,5632,8.8312,40457.4
5888,5888,5888,9.95664,41003.5
6144,6144,6144,11.2365,41281.3
6400,6400,6400,13.0498,40176.1
6656,6656,6656,14.421,40895.5
6912,6912,6912,16.1102,40995.8
7168,7168,7168,18.9405,38889.5
7424,7424,7424,21.0699,38840.1
7680,7680,7680,22.472,40315.5
7936,7936,7936,24.4326,40913.3
8192,8192,8192,26.6499,41257.6
8448,8448,8448,28.8232,41835.9
8704,8704,8704,32.4479,40644.4
8960,8960,8960,34.8853,41239.3
9216,9216,9216,37.4485,41804.5
9472,9472,9472,49.8688,34082.1
9728,9728,9728,52.576,35019.7
9984,9984,9984,48.6259,40933.2
10240,10240,10240,51.5551,41654.2
10496,10496,10496,56.2843,41087.9
10752,10752,10752,59.4519,41815
11008,11008,11008,64.3882,41433.3
11264,11264,11264,69.5479,41098.3
11520,11520,11520,73.0866,41836
11776,11776,11776,78.4973,41607.2
12032,12032,12032,84.1394,41404.2
12288,12288,12288,89.809,41319.4
12544,12544,12544,95.7741,41218.3
12800,12800,12800,101.845,41183
13056,13056,13056,108.188,41141.8
13312,13312,13312,112.601,41900.4
13568,13568,13568,129.298,38635.4
13824,13824,13824,135.789,38910.4
14080,14080,14080,135.123,41315.1
14336,14336,14336,142.214,41435.4
14592,14592,14592,157.483,39458.5
14848,14848,14848,157.063,41683.1
15104,15104,15104,164.75,41829.4
15360,15360,15360,174.923,41434
15616,15616,15616,182.985,41622.1
15872,15872,15872,191.275,41808.7
16128,16128,16128,210.367,39883.5
16384,16384,16384,211.136,41660.8
16640,16640,16640,222.082,41493.1
16896,16896,16896,239.437,40289.3
17152,17152,17152,242.939,41540.9
17408,17408,17408,252.377,41804.9
17664,17664,17664,264.681,41646.1
17920,17920,17920,277.252,41511.6
18176,18176,18176,287.359,41792.6
18432,18432,18432,300.389,41693
18688,18688,18688,313.741,41605.2
18944,18944,18944,327.289,41544.5
19200,19200,19200,349.743,40474.8
19456,19456,19456,355.184,41470.3
19712,19712,19712,369.498,41458.2
19968,19968,19968,381.006,41792.8
20224,20224,20224,399.059,41456.6
20480,20480,20480,414.025,41494.8
