m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.049918,672.191
512,512,512,0.135678,1978.47
768,768,768,0.242718,3732.6
1024,1024,1024,0.467677,4591.81
1280,1280,1280,0.560957,7477.05
1536,1536,1536,0.900476,8048.81
1792,1792,1792,0.979835,11746
2048,2048,2048,1.75247,9803.21
2304,2304,2304,2.07887,11766.6
2560,2560,2560,3.13615,10699.2
2816,2816,2816,3.84303,11621.3
3072,3072,3072,4.79678,12087.7
3328,3328,3328,4.93422,14940.4
3584,3584,3584,6.60174,13946.8
3840,3840,3840,9.05037,12512.9
4096,4096,4096,11.0728,12412.3
4352,4352,4352,14.1705,11633.5
4608,4608,4608,16.3668,11956.5
4864,4864,4864,22.2529,10342.5
5120,5120,5120,24.054,11159.7
5376,5376,5376,32.9521,9430.29
5632,5632,5632,33.9357,10528.4
5888,5888,5888,48.7175,8380.09
6144,6144,6144,44.9191,10326.5
6400,6400,6400,67.3649,7782.8
6656,6656,6656,68.5792,8599.59
6912,6912,6912,92.0098,7178.06
7168,7168,7168,69.4119,10611.8
7424,7424,7424,116.068,7050.68
7680,7680,7680,107.461,8430.71
7936,7936,7936,148.742,6720.48
8192,8192,8192,93.0602,11815.1
8448,8448,8448,192.835,6253.26
8704,8704,8704,169.304,7789.66
8960,8960,8960,236.574,6081.16
9216,9216,9216,164.554,9513.67
9472,9472,9472,263.141,6459.01
9728,9728,9728,236.396,7788.61
9984,9984,9984,315.508,6308.61
10240,10240,10240,222.122,9668.02
10496,10496,10496,377.602,6124.44
10752,10752,10752,351.271,7077.11
11008,11008,11008,465.406,5732.23
11264,11264,11264,310.962,9191.8
11520,11520,11520,543.66,5624.19
11776,11776,11776,387.81,8421.79
12032,12032,12032,363.417,9586.02
12288,12288,12288,429.476,8640.42
12544,12544,12544,437.403,9025.2
12800,12800,12800,508.824,8243.14
13056,13056,13056,471.891,9432.33
13312,13312,13312,567.673,8311.16
13568,13568,13568,558.402,8946.04
13824,13824,13824,652.392,8098.84
14080,14080,14080,603.257,9254.14
14336,14336,14336,722.303,8158.21
14592,14592,14592,669.836,9276.96
14848,14848,14848,851.413,7689.42
15104,15104,15104,775.828,8882.6
15360,15360,15360,900.621,8047.51
15616,15616,15616,1685.86,4517.71
15872,15872,15872,1677.87,4766.13
16128,16128,16128,1807.05,4643.04
16384,16384,16384,1071.87,8206.33
16640,16640,16640,2395.62,3846.56
16896,16896,16896,2028.59,4755.41
17152,17152,17152,2577.18,3915.88
17408,17408,17408,1460.24,7225.26
17664,17664,17664,2917.49,3778.23
17920,17920,17920,2474.86,4650.43
18176,18176,18176,2699.9,4448.13
18432,18432,18432,1784.22,7019.4
18688,18688,18688,3319.32,3932.51
18944,18944,18944,3072.99,4424.7
19200,19200,19200,3754.02,3770.83
19456,19456,19456,2115.39,6963.06
19712,19712,19712,3885.71,3942.31
19968,19968,19968,3761.57,4233.16
20224,20224,20224,4438.16,3727.59
20480,20480,20480,2455.46,6996.61
