m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.01712,1959.96
512,512,512,0.0232,11570.5
768,768,768,0.05008,18090.4
1024,1024,1024,0.04176,51424.4
1280,1280,1280,0.0568,73843.4
1536,1536,1536,0.071681,101111
1792,1792,1792,0.104481,110156
2048,2048,2048,0.160801,106839
2304,2304,2304,0.200162,122207
2560,2560,2560,0.378084,88748.6
2816,2816,2816,0.378564,117975
3072,3072,3072,0.427045,135775
3328,3328,3328,0.657608,112102
3584,3584,3584,0.663688,138730
3840,3840,3840,0.742409,152539
4096,4096,4096,0.919531,149466
4352,4352,4352,1.26673,130140
4608,4608,4608,1.35314,144619
4864,4864,4864,1.76194,130623
5120,5120,5120,1.9189,139890
5376,5376,5376,2.21859,140065
5632,5632,5632,2.60131,137349
5888,5888,5888,2.82964,144279
6144,6144,6144,3.265,142069
6400,6400,6400,3.68917,142116
6656,6656,6656,4.14757,142192
6912,6912,6912,4.6655,141561
7168,7168,7168,5.20247,141584
7424,7424,7424,5.82279,140544
7680,7680,7680,6.13703,147623
7936,7936,7936,7.04441,141903
8192,8192,8192,7.6113,144458
8448,8448,8448,8.42346,143153
8704,8704,8704,9.22588,142948
8960,8960,8960,10.0747,142798
9216,9216,9216,10.983,142540
9472,9472,9472,11.9561,142156
9728,9728,9728,12.921,142497
9984,9984,9984,13.9909,142265
10240,10240,10240,14.9549,143597
10496,10496,10496,16.1569,143135
10752,10752,10752,17.3313,143439
11008,11008,11008,18.4913,144274
11264,11264,11264,20.2636,141056
11520,11520,11520,21.0921,144966
11776,11776,11776,22.9533,142292
12032,12032,12032,24.4789,142315
12288,12288,12288,25.8325,143651
12544,12544,12544,27.9376,141302
12800,12800,12800,29.4921,142218
13056,13056,13056,31.5606,141031
13312,13312,13312,33.4856,140897
13568,13568,13568,36.0765,138469
13824,13824,13824,37.6531,140323
14080,14080,14080,39.4127,141645
14336,14336,14336,41.5282,141896
14592,14592,14592,44.1409,140778
14848,14848,14848,46.13,141922
15104,15104,15104,49.0278,140561
15360,15360,15360,50.691,142979
15616,15616,15616,53.8226,141506
15872,15872,15872,56.7847,140829
16128,16128,16128,59.7654,140385
16384,16384,16384,62.2171,141377
16640,16640,16640,65.2336,141260
16896,16896,16896,68.5727,140679
17152,17152,17152,71.9999,140166
17408,17408,17408,72.9203,144687
17664,17664,17664,77.5627,142116
17920,17920,17920,81.3117,141544
18176,18176,18176,84.6022,141953
18432,18432,18432,87.1929,143637
18688,18688,18688,92.4389,141209
18944,18944,18944,96.522,140870
19200,19200,19200,102.849,137636
19456,19456,19456,104.16,141413
19712,19712,19712,111.452,137447
19968,19968,19968,115.779,137532
20224,20224,20224,120.843,136902
20480,20480,20480,125.485,136908
