m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.024,1398.1
512,512,512,0.04368,6145.5
768,768,768,0.0752,12047.5
1024,1024,1024,0.10032,21406.3
1280,1280,1280,0.13744,30517.3
1536,1536,1536,0.22912,31633
1792,1792,1792,0.42048,27371.5
2048,2048,2048,0.726881,23635
2304,2304,2304,1.06416,22986.3
2560,2560,2560,1.57808,21262.8
2816,2816,2816,2.17568,20527.3
3072,3072,3072,1.64176,35316.9
3328,3328,3328,2.07088,35597.9
3584,3584,3584,2.53472,36324.8
3840,3840,3840,3.03441,37320.7
4096,4096,4096,3.67809,37367
4352,4352,4352,4.54161,36298.4
4608,4608,4608,5.22209,37473.4
4864,4864,4864,5.97761,38502
5120,5120,5120,7.08401,37893.1
5376,5376,5376,7.97921,38944.6
5632,5632,5632,9.28242,38490.8
5888,5888,5888,10.6762,38240
6144,6144,6144,12.2427,37888.3
6400,6400,6400,13.7733,38065.5
6656,6656,6656,14.9205,39526.3
6912,6912,6912,17.2011,38395.8
7168,7168,7168,19.0341,38698.3
7424,7424,7424,21.0016,38966.5
7680,7680,7680,23.1021,39215.9
7936,7936,7936,25.3287,39465.9
8192,8192,8192,29.23,37615.9
8448,8448,8448,30.5922,39416.8
8704,8704,8704,33.7296,39099.8
8960,8960,8960,45.1847,31839.2
9216,9216,9216,47.8345,32727.8
9472,9472,9472,43.0517,39478.8
9728,9728,9728,55.1521,33384
9984,9984,9984,51.2617,38828.5
10240,10240,10240,54.9046,39113
10496,10496,10496,59.411,38925.6
10752,10752,10752,63.4174,39200.3
11008,11008,11008,68.5066,38942.4
11264,11264,11264,73.6642,38801.7
11520,11520,11520,78.3083,39046.3
11776,11776,11776,83.0857,39309.5
12032,12032,12032,89.0351,39127.5
12288,12288,12288,95.82,38727.3
12544,12544,12544,100.542,39263.8
12800,12800,12800,107.274,39099
13056,13056,13056,119.587,37220
13312,13312,13312,130.259,36220.4
13568,13568,13568,126.045,39632.6
13824,13824,13824,134.288,39345.5
14080,14080,14080,144.439,38650.4
14336,14336,14336,158.852,37095.5
14592,14592,14592,164.401,37798
14848,14848,14848,174.715,37471.8
15104,15104,15104,187.946,36666.8
15360,15360,15360,199.104,36401.9
15616,15616,15616,192.113,39644.5
15872,15872,15872,210.559,37979.7
16128,16128,16128,219.31,38257.1
16384,16384,16384,310.03,28371.8
16640,16640,16640,231.808,39752.2
16896,16896,16896,244.241,39497
17152,17152,17152,253.532,39805.4
17408,17408,17408,264.665,39863.9
17664,17664,17664,277.435,39731.6
17920,17920,17920,297.899,38634.4
18176,18176,18176,318.415,37716.6
18432,18432,18432,315.753,39664.4
18688,18688,18688,354.489,36822.7
18944,18944,18944,357.727,38009.6
19200,19200,19200,380.63,37190.4
19456,19456,19456,397.87,37021.1
19712,19712,19712,431.649,35488.8
19968,19968,19968,447.239,35603.6
20224,20224,20224,470.916,35130.8
20480,20480,20480,471.839,36410.5
