m,n,k,rocblas_time_ms,rocblas_gops
256,256,256,0.0152,2207.53
512,512,512,0.02016,13315.3
768,768,768,0.02544,35612
1024,1024,1024,0.03808,56394
1280,1280,1280,0.0536,78251.9
1536,1536,1536,0.07152,101339
1792,1792,1792,0.09648,119291
2048,2048,2048,0.1336,128592
2304,2304,2304,0.19984,122404
2560,2560,2560,0.25104,133662
2816,2816,2816,0.32688,136628
3072,3072,3072,0.42064,137842
3328,3328,3328,0.49776,148102
3584,3584,3584,0.67072,137275
3840,3840,3840,0.78752,143801
4096,4096,4096,0.97008,141678
4352,4352,4352,1.17584,140200
4608,4608,4608,1.332,146914
4864,4864,4864,1.57424,146197
5120,5120,5120,1.78592,150306
5376,5376,5376,2.08016,149386
5632,5632,5632,2.43104,146969
5888,5888,5888,2.79264,146190
6144,6144,6144,3.21024,144493
6400,6400,6400,3.64064,144010
6656,6656,6656,3.80672,154924
6912,6912,6912,4.54032,145464
7168,7168,7168,5.00656,147124
7424,7424,7424,5.53184,147936
7680,7680,7680,6.0696,149263
7936,7936,7936,6.6656,149967
8192,8192,8192,7.23824,151903
8448,8448,8448,7.92848,152090
8704,8704,8704,8.77168,150350
8960,8960,8960,9.49888,151454
9216,9216,9216,10.1806,153774
9472,9472,9472,11.1738,152109
9728,9728,9728,11.9728,153782
9984,9984,9984,13.0682,152310
10240,10240,10240,13.8413,155151
10496,10496,10496,15.0554,153607
10752,10752,10752,15.9032,156319
11008,11008,11008,17.1634,155436
11264,11264,11264,18.475,154711
11520,11520,11520,19.4171,157472
11776,11776,11776,20.7912,157088
12032,12032,12032,22.2373,156661
12288,12288,12288,23.6678,156789
12544,12544,12544,25.2413,156396
12800,12800,12800,33.6125,124784
13056,13056,13056,28.4818,156276
13312,13312,13312,29.504,159911
13568,13568,13568,31.7731,157224
13824,13824,13824,40.4851,130508
14080,14080,14080,35.3054,158123
14336,14336,14336,37.1648,158556
14592,14592,14592,39.0248,159233
14848,14848,14848,40.8781,160156
15104,15104,15104,42.8427,160853
15360,15360,15360,45.388,159684
15616,15616,15616,47.4456,160525
15872,15872,15872,49.5816,161289
16128,16128,16128,52.3488,160275
16384,16384,16384,55.0421,159807
16640,16640,16640,57.8615,159258
16896,16896,16896,60.3255,159912
17152,17152,17152,63.4235,159120
17408,17408,17408,65.8893,160126
17664,17664,17664,69.2093,159270
17920,17920,17920,72.549,158640
18176,18176,18176,75.2925,159505
18432,18432,18432,78.1541,160249
18688,18688,18688,81.6363,159895
18944,18944,18944,85.0146,159938
19200,19200,19200,88.9091,159216
19456,19456,19456,92.5986,159069
19712,19712,19712,96.6367,158519
19968,19968,19968,99.7192,159682
20224,20224,20224,104.447,158392
20480,20480,20480,116.741,147162
