m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.04704,713.317
512,512,512,0.08368,3207.88
768,768,768,0.17424,5199.55
1024,1024,1024,0.29808,7204.39
1280,1280,1280,0.60896,6887.65
1536,1536,1536,0.82576,8777.07
1792,1792,1792,1.30944,8789.38
2048,2048,2048,2.09728,8191.5
2304,2304,2304,2.86304,8543.78
2560,2560,2560,3.53636,9488.41
2816,2816,2816,4.88864,9135.67
3072,3072,3072,6.03168,9612.92
3328,3328,3328,12.0451,6120.24
3584,3584,3584,12.8373,7172.34
3840,3840,3840,11.4282,9909.4
4096,4096,4096,14.2659,9634.08
4352,4352,4352,17.7526,9286.11
4608,4608,4608,19.9312,9818.25
4864,4864,4864,24.447,9414.22
5120,5120,5120,28.2683,9495.98
5376,5376,5376,32.3597,9602.93
5632,5632,5632,37.5435,9516.63
5888,5888,5888,43.4347,9399.32
6144,6144,6144,48.6864,9527.44
6400,6400,6400,56.36,9302.49
6656,6656,6656,64.1097,9199.11
6912,6912,6912,71.9911,9174.07
7168,7168,7168,76.5892,9617.37
7424,7424,7424,85.4899,9572.59
7680,7680,7680,99.37,9117.13
7936,7936,7936,104.699,9547.55
8192,8192,8192,118.121,9308.34
8448,8448,8448,122.224,9865.85
8704,8704,8704,133.643,9868.26
8960,8960,8960,145.829,9865.31
9216,9216,9216,157.834,9918.76
9472,9472,9472,179.787,9453.61
9728,9728,9728,196.777,9356.79
9984,9984,9984,210.876,9438.8
10240,10240,10240,219.673,9775.81
10496,10496,10496,238.244,9706.89
10752,10752,10752,256.59,9688.54
11008,11008,11008,276.031,9664.9
11264,11264,11264,297.052,9622.24
11520,11520,11520,311.514,9815.43
11776,11776,11776,343.714,9502.25
12032,12032,12032,368.004,9466.54
12288,12288,12288,395.993,9371
12544,12544,12544,414.441,9525.24
12800,12800,12800,448.807,9345.46
13056,13056,13056,464.518,9582.05
13312,13312,13312,502.623,9386.79
13568,13568,13568,530.837,9410.58
13824,13824,13824,561.797,9404.85
14080,14080,14080,600.735,9292.98
14336,14336,14336,632.861,9311.2
14592,14592,14592,673.139,9231.44
14848,14848,14848,716.351,9139.2
15104,15104,15104,752.607,9156.67
15360,15360,15360,784.43,9239.52
15616,15616,15616,866.021,8794.49
15872,15872,15872,912.122,8767.43
16128,16128,16128,957.206,8765.29
16384,16384,16384,1014.31,8672.02
16640,16640,16640,1074.17,8578.57
16896,16896,16896,1113.86,8660.64
17152,17152,17152,1204.21,8380.53
17408,17408,17408,1308.08,8065.69
17664,17664,17664,1398.61,7881.34
17920,17920,17920,1502.24,7661.32
18176,18176,18176,1584.02,7581.68
18432,18432,18432,1669.68,7500.9
18688,18688,18688,1790.02,7292.24
18944,18944,18944,1884.57,7214.94
19200,19200,19200,1983.13,7138.09
19456,19456,19456,2051.31,7180.57
19712,19712,19712,2201.49,6958.33
19968,19968,19968,2274.13,7001.94
20224,20224,20224,2413.76,6853.88
20480,20480,20480,2528.46,6794.6
