m,n,k,hipblas_time_ms,hipblas_gflops
256,256,256,0.01792,1872.46
512,512,512,0.04576,5866.16
768,768,768,0.0328,27621
1024,1024,1024,0.04752,45191.2
1280,1280,1280,0.09536,43983.9
1536,1536,1536,0.0968,74873.5
1792,1792,1792,0.15552,74004.4
2048,2048,2048,0.17616,97524.2
2304,2304,2304,0.322081,75947.3
2560,2560,2560,0.363522,92303.7
2816,2816,2816,0.397122,112462
3072,3072,3072,0.442242,131109
3328,3328,3328,0.624324,118078
3584,3584,3584,0.697444,132015
3840,3840,3840,0.897605,126165
4096,4096,4096,1.17105,117364
4352,4352,4352,1.30785,126049
4608,4608,4608,1.53265,127681
4864,4864,4864,1.85825,123853
5120,5120,5120,2.16177,124174
5376,5376,5376,2.3837,130364
5632,5632,5632,3.0237,118162
5888,5888,5888,3.19122,127931
6144,6144,6144,3.6901,125703
