m,n,k,hipblas_time_ms,hipblas_gflops
256,256,256,0.03984,842.23
512,512,512,0.04848,5537.03
768,768,768,0.05536,16365.1
1024,1024,1024,0.0984,21824
1280,1280,1280,0.14976,28006.8
1536,1536,1536,0.21744,33332.2
1792,1792,1792,0.35296,32607.6
2048,2048,2048,0.448161,38334.1
2304,2304,2304,0.649922,37637.1
2560,2560,2560,0.901122,37236.3
2816,2816,2816,1.17904,37879
3072,3072,3072,1.48688,38995.7
3328,3328,3328,1.93808,38037.1
3584,3584,3584,2.40513,38282.1
3840,3840,3840,2.82993,40017.3
4096,4096,4096,3.37121,40768.4
4352,4352,4352,4.3381,38001.2
4608,4608,4608,5.12706,38168
4864,4864,4864,5.96706,38570.1
5120,5120,5120,6.69234,40110.8
5376,5376,5376,8.03187,38689.3
5632,5632,5632,8.75715,40799.5
5888,5888,5888,9.78483,41723.4
6144,6144,6144,12.036,38539
